cluster_id,title,summary,url,source,published_dt,scraped_at
0,"תאונה קשה באזור מצדה: נער בן 16 נהרג, 3 צעירים נפצעו","מותו של הנער נקבע במקום, בעקבות תאונה עצמית של הרכב בכביש 90 • נער נוסף נפצע קשה ופונה במסוק לביה""ח הדסה עין כרם עם חבלה רב מערכתית • שניים נוספים פונו לביה""ח במצב בינוני עם חבלות בראש ובגפיים • צוות מד""א שהוזעק לזירת התאונה סיפר: ""הרכב היה עם פגיעות פח קשות בשטח עפר, והנוסעים היו מוטלים מחוצה לו""",https://www.mako.co.il/news-israel/2025_q3/Article-1d8dd141a887891027.htm,n12,2025-08-05T05:56:00,2025-08-06T20:41:23.919212
0,"תאונה קטלנית בנגב: גבר נהרג, תינוק נפצע באורח קשה","תאונת דרכים קשה אירעה בצומת תל ערד, בין משאית לרכב פרטי • גבר בן 35 נהרג, שלושה בני אדם נוספים נפצעו בהם תינוק בן שנה במצב קשה עם חבלה רב-מערכתית • חובשי מד""א ישעיהו שלום רחבי ועארף אבו נגא סיפרו: ""מדובר בתאונה קשה מאוד, שני פצועים היו לכודים ברכב והאחרים על הכביש""",https://www.mako.co.il/news-israel/2025_q3/Article-2522cdd9ee58891027.htm,n12,2025-08-07T20:25:00,2025-08-10T12:30:15.687492
0,שני רוכבי אופנוע נהרגו מפגיעת רכב בגליל העליון,"התאונה הקטלנית התרחשה בכביש 90, סמוך למושב שדה אליעזר • צוותי מד""א שהוזעקו לזירה קבעו את מותם של הרוכבים, בשנות ה-20 לחייהם, במקום • נוסעי הרכב, גבר ואישה כבני 70, פונו לבית חולים במצב בינוני • פרמדיק מד""א: ""תאונה קשה מאוד, האופנועים עלו באש""",https://www.mako.co.il/news-israel/2025_q3/Article-2cb08afb5b1b891027.htm,n12,2025-08-16T08:40:00,2025-08-19T14:56:32.256718
0,"הותר לפרסום: בתאונת הדרכים הקטלנית בצפון נהרגו שני לוחמי מג""ב","רס""ל תומר אליהו קליפי ורס""ל גל יוסף ז""ל רכבו על אופנועים - ונפגעו מרכב • צוותי מד""א שהגיעו למקום נאלצו לקבוע את מותם במקום • חברים סיפרו על תומר: ""נתן את הלב שלו לכולם, היה מקצועי ברמות הגבוהות ביותר""",https://www.mako.co.il/news-israel/2025_q3/Article-e9e29f95ac3b891026.htm,n12,2025-08-16T18:04:00,2025-08-19T14:56:32.256718
0,"אסון מול חופי יפו: אדם טבע למוות, מחלץ נהרג מפגיעת סירה","ארבעה בני אדם היו במצוקה במים שמול חופי יפו • כמה מהם ניסו לחלץ אדם שטבע, ואחד נפגע ממדחף סירת ונהרג • צוותי ההצלה קבעו גם את מותו של האדם שטבע, ושניים נוספים פונו לבתי חולים במצב קשה ובינוני • ""כשהגענו לחוף הייתה המולה"", סיפרו חובשי מד""א",https://www.mako.co.il/news-israel/2025_q3/Article-027f6f5c004b891026.htm,n12,2025-08-16T19:01:00,2025-08-19T14:56:32.256718
1,"גדי איזנקוט: ""אני יכול להיות ראש ממשלת ישראל""","פחות מחודש עבר מאז היפרדותם של שני הרמטכ""לים לשעבר גנץ ואיזנקוט ומאז, האחרון שמר על שתיקה • בראיון מיוחד ל""חדשות סוף השבוע"", סיפר איזנקוט על השיחה האחרונה עם השותף לשעבר ועל רה""מ נתניהו ש""טרפד עסקאות חטופים בגלל פוליטיקה"" לדבריו • הרמטכ""ל והשר לשעבר סיפר גם על ההתמודדות עם מות בנו: ""אנחנו משפחה שמחה שממשיכה את החיים - יחד עם הכאב הגדול"" • ריאיון מיוחד",https://www.mako.co.il/news-israel/2025_q3/Article-fe4cd0f94094891027.htm,n12,2025-07-27T06:25:00,2025-07-29T16:04:55.843915
1,"מתיחות בין הרמטכ""ל לנתניהו - או ספין המונע מאינטרסים?",11:19,https://www.c14.co.il/article/1287503,channel14,,2025-08-05T19:55:05.581867
2,ברקע הגברת התקיפות הרוסיות: טראמפ וזלנסקי קיימו שיחת טלפון,שיתוף הפעולה האוקראיני-אמריקני מעלה הילוך,https://www.c14.co.il/article/1288025,channel14,2025-08-05T18:55:05.577551,2025-08-05T19:55:05.578520
2,"זלנסקי ""הזדעזע"": ההצעה של פוטין להפסקת אש, והתגובה האירופית","הנשיא האוקראיני אמר כי המדינה "" לא תוותר על אדמתה""",https://www.c14.co.il/article/1290451,channel14,2025-08-10T11:30:16.064351,2025-08-10T12:30:16.064351
2,מנהיגי אירופה מפגינים אופטימיות זהירה לאחר השיחות בבית הלבן,אחרי שלוש וחצי שנות מלחמה: פוטין וזלנסקי יסכימו להיפגש?,https://www.c14.co.il/article/1298948,channel14,2025-08-19T14:35:32.701749+03:00,2025-08-19T14:56:32.696710+03:00
3,"בית""ר ירושלים דרסה את הפועל חיפה ועלתה לגמר מול הפועל ת""א",,https://www.c14.co.il/article/1298290,channel14,2025-08-18T21:51:00+03:00,2025-08-19T14:56:32.696710+03:00
3,"בית""ר ירושלים בטירוף לקראת ריגה: ""באירופה אין מקום לטעויות""",07.08.25,https://www.c14.co.il/article/1289452,channel14,NaT,2025-08-10T12:30:16.068487
3,"על סף הדחה: בית""ר ירושלים הובסה 0:3 ע""י ריגה בקונפרנס ליג",07.08.25,https://www.c14.co.il/article/1289687,channel14,NaT,2025-08-10T12:30:16.068487
3,"""ממש כמו בישיבה"": הצצה מיוחדת לחטיבת 'חשמונאים' | צפו",08.08.25,https://www.c14.co.il/article/1289898,channel14,NaT,2025-08-10T12:30:16.067456
3,"דרמה בברצלונה: הקפטן הראשון הודח, בלם הקבוצה בדרך לעזוב",08.08.25,https://www.c14.co.il/article/1289910,channel14,NaT,2025-08-10T12:30:16.068487
