cluster_id,size,repr_title,repr_url,repr_source,sources,first_published_dt,last_published_dt
6,15,אוכל,https://www.c14.co.il/article/1289114,channel14,channel14,2025-08-06T21:30:00+00:00,2025-08-06T21:30:00+00:00
43,12,"""שורף קצת, אבל עושה את העבודה"": הסטנדאפ שקרע את סטורי לילה",https://www.c14.co.il/article/1288454,channel14,channel14,2025-08-06T20:37:24.319230+00:00,2025-08-07T11:06:33.359207+00:00
68,9,"אבי ביטר נגד מכתב האמנים: ""כל העולם שונא אותנו בגללם"" | צפו",https://www.c14.co.il/article/1287446,channel14,channel14,2025-08-05T18:55:05.583865+00:00,2025-08-07T11:06:33.359207+00:00
46,8,הסוף לניחושים: המדריך לביצה המושלמת - מרכה ועד קשה,https://www.c14.co.il/article/1287629,channel14,channel14,2025-08-05T17:55:05.581867+00:00,2025-08-05T17:55:05.582864+00:00
3,7,"בית""ר ירושלים דרסה את הפועל חיפה ועלתה לגמר מול הפועל ת""א",https://www.c14.co.il/article/1298290,channel14,channel14,2025-08-18T18:51:00+00:00,2025-08-18T18:51:00+00:00
15,6,בדקה ה-90: כך חוסל פרויקט דיוק הטילים של חיזבאללה | בלעדי,https://www.c14.co.il/article/1289131,channel14,channel14,2025-08-06T20:04:00+00:00,2025-08-09T20:43:00+00:00
35,6,"""בזכותו אני כאן"": המפגש המרגש בהופעה של עידן עמדי | צפו",https://www.c14.co.il/article/1297024,channel14,channel14,2025-08-19T09:56:32.706899+00:00,2025-08-19T09:56:32.706899+00:00
45,6,בשיא אוגוסט: קווי הרכבת המרכזיים בין חיפה לתל אביב וירושלים יושבתו לכמה ימים,https://www.mako.co.il/news-israel/2025_q3/Article-a5b1eb157cba891026.htm,n12,"channel14, n12",2025-08-15T05:23:00+00:00,2025-08-19T11:35:32.701749+00:00
71,6,"עוגת וניל עם דובדבנים ופיסטוק: רכה, מתוקה ומוכנה ב-10 דקות",https://www.c14.co.il/article/1296627,channel14,channel14,2025-08-19T10:56:32.706899+00:00,2025-08-19T10:56:32.706899+00:00
0,5,"תאונה קשה באזור מצדה: נער בן 16 נהרג, 3 צעירים נפצעו",https://www.mako.co.il/news-israel/2025_q3/Article-1d8dd141a887891027.htm,n12,n12,2025-08-05T05:56:00+00:00,2025-08-16T19:01:00+00:00
40,5,"פרקליט המדינה: ""ההחלטה על סיום כהונת היועמ""שית מנוגדת לדין""",https://www.c14.co.il/article/1287897,channel14,channel14,2025-08-05T16:55:05.580863+00:00,2025-08-07T13:06:33.354212+00:00
58,5,"לרגל ט""ו באב: נועה ארגמני בפוסט מצמרר לבן זוגה המוחזק בשבי",https://www.c14.co.il/article/1290220,channel14,channel14,2025-08-10T12:23:16.068487+00:00,2025-08-10T12:23:16.069489+00:00
13,4,"עינב צנגאוקר חסמה נתיבים באיילון: ""היינו קרובים לעסקה, מדינה שלמה בוכה""",https://www.mako.co.il/news-israel/2025_q3/Article-8cef463167a8891026.htm,n12,n12,2025-08-08T17:57:00+00:00,2025-08-17T05:00:00+00:00
14,4,"מכה לבית""ר: עומר אצילי לא כשיר למשחק הראשון מול ריגה",https://www.c14.co.il/article/1287990,channel14,channel14,2025-08-05T17:05:00+00:00,2025-08-05T17:05:00+00:00
32,4,"""השתיקה הורגת"": משפחות חטופים וחללים הכריזו – משביתים את המשק ביום ראשון",https://www.mako.co.il/news-israel/2025_q3/Article-a1192aa1fa29891026.htm,n12,"channel14, n12",2025-08-10T09:00:00+00:00,2025-08-19T11:36:32.701749+00:00
48,4,"צה""ל: 785 חבילות סיוע הוצנחו עד כה בעזה, מ-8 מדינות שונות",https://www.c14.co.il/article/1288045,channel14,channel14,2025-08-05T19:41:05.580863+00:00,2025-08-06T16:41:24.316228+00:00
66,4,ראש הממשלה נפגש עם משלחת חברי קונגרס רפובליקנים מטעם AIPAC,https://www.c14.co.il/article/1289014,channel14,channel14,2025-08-06T16:00:00+00:00,2025-08-19T08:56:32.701749+00:00
