title,summary,url,published,published_iso,source,scraped_at,clean_title,published_dt,dedup_key,_from_file,cluster_id
הצעד האמריקני חסר התקדים נגד אוניברסיטה בשל פגיעה ביהודים,"לראשונה בארה""ב: סערה תקציבית באוניברסיטה הנחשבת",https://www.c14.co.il/article/1289393,06:09,,channel14,2025-08-07 15:06:33.355213,הצעד האמריקני חסר התקדים נגד אוניברסיטה בשל פגיעה ביהודים,,הצעד האמריקני חסר התקדים נגד אוניברסיטה בשל פגיעה ביהודים_no-date,combined_2025-08-07.json,0
לראשונה מזה 5 שנים: הזינוק של חברת אפל - והסיבה מאחוריו,מניית אפל זינקה השבוע בעלייה השבועית הגבוהה ביותר מ-2020,https://www.c14.co.il/article/1290487,לפני כשעה,2025-08-10T11:30:16.064351,channel14,2025-08-10 12:30:16.064351,לראשונה מזה 5 שנים הזינוק של חברת אפל והסיבה מאחוריו,2025-08-10T11:30:16.064351,לראשונה מזה 5 שנים הזינוק של חברת אפל והסיבה מאחוריו_2025-08-10,combined_2025-08-10.json,0
"טראמפ צפוי להכריז: השקעת עתק נוספת של אפל בארה""ב",המטרה - העברת חלק גדול משרשרת האספקה של החברה לאמריקה,https://www.c14.co.il/article/1289058,לפני שעתיים,2025-08-06T18:41:24.315230,channel14,2025-08-06 20:41:24.315230,טראמפ צפוי להכריז השקעת עתק נוספת של אפל בארהב,2025-08-06T18:41:24.315230,טראמפ צפוי להכריז השקעת עתק נוספת של אפל בארהב_2025-08-06,combined_2025-08-07.json,0
"לשכת רה""מ: ""צה״ל ערוך למימוש כל החלטה שתתקבל""",האם הפעם ישראל תלך עד הסוף בעזה?,https://www.c14.co.il/article/1288058,לפני כשעה,2025-08-05T18:55:05.577551,channel14,2025-08-05 19:55:05.577551,לשכת רהמ צהל ערוך למימוש כל החלטה שתתקבל,2025-08-05T18:55:05.577551,לשכת רהמ צהל ערוך למימוש כל החלטה שתתקבל_2025-08-05,combined_2025-08-06.json,1
"האם יוכל לשוב ללשכת רה""מ? הדיון של יונתן אוריך בביהמ""ש",האם אוריך ישוב ללשכה? הפרטים על הדיון הקרוב,https://www.c14.co.il/article/1290432,לפני שעתיים,2025-08-10T10:30:16.064351,channel14,2025-08-10 12:30:16.064351,האם יוכל לשוב ללשכת רהמ הדיון של יונתן אוריך בביהמש,2025-08-10T10:30:16.064351,האם יוכל לשוב ללשכת רהמ הדיון של יונתן אוריך בביהמש_2025-08-10,combined_2025-08-10.json,1
"שר הביטחון ברצועה: ""הצבא יבצע את המדיניות של הדרג המדיני""",13:01,https://www.c14.co.il/article/1287700,וגם - ההבהרה החריגה לעובדי הפרקליטות בעקבות החלטת הממשלה,,channel14,2025-08-05 19:55:05.580863,שר הביטחון ברצועה הצבא יבצע את המדיניות של הדרג המדיני,,שר הביטחון ברצועה הצבא יבצע את המדיניות של הדרג המדיני_no-date,combined_2025-08-06.json,2
"""רמטכ""ל פוליטי"": ביקורת בליכוד נגד כ""ץ - שדחף למינוי זמיר",זאת בעקבות הפוסט ההבהרה שפרסם שר הביטחון בנושא,https://www.c14.co.il/article/1289228,לפני 13 דקות,2025-08-06T20:28:24.315230,channel14,2025-08-06 20:41:24.315230,רמטכל פוליטי ביקורת בליכוד נגד כץ שדחף למינוי זמיר,2025-08-06T20:28:24.315230,רמטכל פוליטי ביקורת בליכוד נגד כץ שדחף למינוי זמיר_2025-08-06,combined_2025-08-07.json,2
"שר הביטחון: צה""ל יישאר במחנות הטרור לפחות עד סוף השנה","לדבריו, התרעות הטרור ביו""ש ירד ב 80%",https://www.c14.co.il/article/1290593,לפני 47 דקות,2025-08-10T11:43:16.064351,channel14,2025-08-10 12:30:16.064351,שר הביטחון צהל יישאר במחנות הטרור לפחות עד סוף השנה,2025-08-10T11:43:16.064351,שר הביטחון צהל יישאר במחנות הטרור לפחות עד סוף השנה_2025-08-10,combined_2025-08-10.json,2
טסלה תעניק למאסק מניות בשווי 29 מיליארד דולר,לפני 5 שעות,https://www.c14.co.il/article/1287767,,,channel14,2025-08-05 19:55:05.586286,טסלה תעניק למאסק מניות בשווי 29 מיליארד דולר,,טסלה תעניק למאסק מניות בשווי 29 מיליארד דולר_no-date,combined_2025-08-06.json,3
לוחמי המחזור הראשון של חטיבת חשמונאים סיימו את הכשרתם,לפני 5 שעות,https://www.c14.co.il/article/1288837,13:33,,channel14,2025-08-06 20:41:24.316228,לוחמי המחזור הראשון של חטיבת חשמונאים סיימו את הכשרתם,,לוחמי המחזור הראשון של חטיבת חשמונאים סיימו את הכשרתם_no-date,combined_2025-08-07.json,3
"ממשיכה לבנות: מכבי ת""א החתימה את הרכז ג'ף דאוטין ג'וניור",לפני 4 שעות,https://www.c14.co.il/article/1287785,13:45,,channel14,2025-08-05 19:55:05.582864,ממשיכה לבנות מכבי תא החתימה את הרכז גף דאוטין גוניור,,ממשיכה לבנות מכבי תא החתימה את הרכז גף דאוטין גוניור_no-date,combined_2025-08-06.json,3
"שון וייסמן מגיב לסערה בגרמניה: ""תמיד אעמוד לצד העם שלי""",לפני 4 שעות,https://www.c14.co.il/article/1287828,לפני 4 שעות,2025-08-05T15:55:05.582864,channel14,2025-08-05 19:55:05.582864,שון וייסמן מגיב לסערה בגרמניה תמיד אעמוד לצד העם שלי,2025-08-05T15:55:05.582864,שון וייסמן מגיב לסערה בגרמניה תמיד אעמוד לצד העם שלי_2025-08-05,combined_2025-08-06.json,3
"""להיכנס בהם חזק יותר"": ליהיא גרינר תוקפת את מחאת האמנים",10:22,https://www.c14.co.il/article/1287458,,,channel14,2025-08-05 19:55:05.581867,להיכנס בהם חזק יותר ליהיא גרינר תוקפת את מחאת האמנים,,להיכנס בהם חזק יותר ליהיא גרינר תוקפת את מחאת האמנים_no-date,combined_2025-08-06.json,4
"אריאל זילבר על מכתב האמנים: ""עשו את האג'נדה שלהם לשל החמאס""","לדבריו, ""הם התנתקו מחללית האם. זה איום ונורא""",https://www.c14.co.il/article/1289363,00:20,,channel14,2025-08-07 15:06:33.357209,אריאל זילבר על מכתב האמנים עשו את האגנדה שלהם לשל החמאס,,אריאל זילבר על מכתב האמנים עשו את האגנדה שלהם לשל החמאס_no-date,combined_2025-08-07.json,4
"האב השכול נגד מכתב האמנים: ""אין צבא מוסרי יותר מהצבא שלנו""",לפני 4 שעות,https://www.c14.co.il/article/1287681,לפני 4 שעות,2025-08-05T15:55:05.581867,channel14,2025-08-05 19:55:05.581867,האב השכול נגד מכתב האמנים אין צבא מוסרי יותר מהצבא שלנו,2025-08-05T15:55:05.581867,האב השכול נגד מכתב האמנים אין צבא מוסרי יותר מהצבא שלנו_2025-08-05,combined_2025-08-06.json,4
"""מאכילים את המחבלים שמרעיבים את חטופינו - זה חייב להיפסק""",11:34,https://www.c14.co.il/article/1288615,06:38,,channel14,2025-08-06 20:41:24.317228,מאכילים את המחבלים שמרעיבים את חטופינו זה חייב להיפסק,,מאכילים את המחבלים שמרעיבים את חטופינו זה חייב להיפסק_no-date,combined_2025-08-07.json,5
"מתיחות בין הרמטכ""ל לנתניהו - או ספין המונע מאינטרסים?",11:19,https://www.c14.co.il/article/1287503,10:22,,channel14,2025-08-05 19:55:05.581867,מתיחות בין הרמטכל לנתניהו או ספין המונע מאינטרסים,,מתיחות בין הרמטכל לנתניהו או ספין המונע מאינטרסים_no-date,combined_2025-08-06.json,5
"ינפץ את שיא ההעברות של הליגה: כוכב טוטנהאם עובר לארה""ב",אתמול 11:30,https://www.c14.co.il/article/1288479,אתמול 01:54,2025-08-06T01:54:00,channel14,2025-08-07 15:06:33.358207,ינפץ את שיא ההעברות של הליגה כוכב טוטנהאם עובר לארהב,2025-08-06T01:54:00,ינפץ את שיא ההעברות של הליגה כוכב טוטנהאם עובר לארהב_2025-08-06,combined_2025-08-07.json,5
"השרים לרמטכ""ל: הבהר שתציית להחלטת הקבינט על כיבוש רצועת עזה",11:21,https://www.c14.co.il/article/1287528,אתמול 20:04,2025-08-04T20:04:00,channel14,2025-08-05 19:55:05.581867,השרים לרמטכל הבהר שתציית להחלטת הקבינט על כיבוש רצועת עזה,2025-08-04T20:04:00,השרים לרמטכל הבהר שתציית להחלטת הקבינט על כיבוש רצועת עזה_2025-08-04,combined_2025-08-06.json,5
"""חברות הסיעוד, המטפלות וביטוח לאומי - כולם יודעים"" | עוקץ הקשישים שמתבצע בחסות החוק","על גבם של כרבע מיליון קשישים בישראל מתבצעת גזירת קופון של מיליארדים, מצד חברות הסיעוד שאמורות לספק שירותים לגמלאים זכאים • המטפלות שנשלחות לבתים, מקצרות באופן משמעותי את שעות העבודה, והחברות, שמרוויחות פי 2 מהשכר השעתי של המטפלות - לא טורחות לבדוק את איכות השירות • ""זו הפקרות ורמאות, כולם מכירים את התופעה - אף אחד לא מונע אותה"", מספרת מיכל, קשישה בת 91",https://www.mako.co.il/news-israel/2025_q3/Article-4aea598d6777891027.htm,"Tue, 05 Aug 2025 07:52:00 +0300",2025-08-05T05:52:00,n12,2025-08-06 20:41:23.919212,חברות הסיעוד המטפלות וביטוח לאומי כולם יודעים עוקץ הקשישים שמתבצע בחסות החוק,2025-08-05T05:52:00,חברות הסיעוד המטפלות וביטוח לאומי כולם יודעים עוקץ הקשישים שמתבצע בחסות החוק_2025-08-05,combined_2025-08-07.json,6
הפקרה מערכתית: כך מגדל וביטוח ישיר שוברות את רוח הלוחמים,לוחמים עם פוסט-טראומה מודרים מביטוחים חיוניים,https://www.c14.co.il/article/1287889,לפני שעתיים,2025-08-05T17:55:05.577551,channel14,2025-08-05 19:55:05.577551,הפקרה מערכתית כך מגדל וביטוח ישיר שוברות את רוח הלוחמים,2025-08-05T17:55:05.577551,הפקרה מערכתית כך מגדל וביטוח ישיר שוברות את רוח הלוחמים_2025-08-05,combined_2025-08-06.json,6
"מנהיג חיזבאללה תוקף את ההצעה האמריקנית: ""לא נתפרק מנשקנו""","""איננו מקבלים שום הסכם חדש מעבר לזה הנוכחי"", אמר",https://www.c14.co.il/article/1288115,לפני 29 דקות,2025-08-05T19:26:05.576552,channel14,2025-08-05 19:55:05.576552,מנהיג חיזבאללה תוקף את ההצעה האמריקנית לא נתפרק מנשקנו,2025-08-05T19:26:05.576552,מנהיג חיזבאללה תוקף את ההצעה האמריקנית לא נתפרק מנשקנו_2025-08-05,combined_2025-08-06.json,7
בתמיכת צרפת ואנגליה: אבו מאזן שוקל להכריז על מדינה פלשתינית,"כך אמר מנהיג פלשתיני לעיתון המזוהה עם קטאר ""אלערבי אלג'דיד""",https://www.c14.co.il/article/1290436,לפני 3 שעות,2025-08-10T09:30:16.063351,channel14,2025-08-10 12:30:16.064351,בתמיכת צרפת ואנגליה אבו מאזן שוקל להכריז על מדינה פלשתינית,2025-08-10T09:30:16.063351,בתמיכת צרפת ואנגליה אבו מאזן שוקל להכריז על מדינה פלשתינית_2025-08-10,combined_2025-08-10.json,7
"זלנסקי ""הזדעזע"": ההצעה של פוטין להפסקת אש, והתגובה האירופית","הנשיא האוקראיני אמר כי המדינה "" לא תוותר על אדמתה""",https://www.c14.co.il/article/1290451,לפני כשעה,2025-08-10T11:30:16.064351,channel14,2025-08-10 12:30:16.064351,זלנסקי הזדעזע ההצעה של פוטין להפסקת אש והתגובה האירופית,2025-08-10T11:30:16.064351,זלנסקי הזדעזע ההצעה של פוטין להפסקת אש והתגובה האירופית_2025-08-10,combined_2025-08-10.json,7
